,script_id,words,words_male,words_female,f_percentage,imdb_id,title,year,gross,lines_data,averageRating,numVotes
45,776,7510,5799,1711,0.2278295605858855,tt0163988,Bringing Out the Dead,1999,28.0,6.46547664477777e+90,6.8,62550
46,779,8360,6948,1412,0.16889952153110047,tt0115759,Broken Arrow,1996,138.0,7.777777737567771e+88,6.1,89421
47,781,13009,9584,3425,0.2632792681989392,tt0315327,Bruce Almighty,2003,350.0,4.734346446775671e+102,6.8,365597
48,785,8298,5827,2471,0.2977825982164377,tt0887883,Burn After Reading,2008,73.0,7.777345655433451e+140,7.0,303967
49,789,5823,4956,867,0.14889232354456466,tt0162222,Cast Away,2000,377.0,7.776777777773419e+77,7.8,510683
50,790,9775,3100,6675,0.6828644501278772,tt0327554,Catwoman,2004,56.0,3.1135430447202403e+73,3.4,108907
51,793,9641,7578,2063,0.21398195207965978,tt0337921,Cellular,2004,44.0,1.7765437537534302e+85,6.5,91931
52,795,13072,8895,4177,0.31953794369645044,tt0824747,Changeling,2008,43.0,2.3342324002617704e+118,7.7,233464
53,805,10449,7762,2687,0.2571537946214949,tt0059037,The Cincinnati Kid,1965,,7.777777777777752e+126,7.3,14949
54,806,10444,7755,2689,0.2574684029107622,tt0124315,The Cider House Rules,1999,98.0,7.777742657773452e+129,7.4,91816
55,808,13687,11447,2240,0.16365894644553225,tt0033467,Citizen Kane,1941,,7.775477777777771e+116,8.3,389252
56,809,13880,8602,5278,0.3802593659942363,tt0103976,City of Joy,1992,30.0,4.57255431531445e+92,6.5,4681
57,811,3360,2948,412,0.12261904761904761,tt0088936,Code of Silence,1985,,7.777777765777751e+51,6.1,6738
58,813,13249,12644,605,0.0456638236848064,tt0109450,Cobb,1994,2.0,7.777777777777772e+122,6.4,6985
59,814,7322,5453,1869,0.2552581261950287,tt0270288,Confessions of a Dangerous Mind,2002,,7.777765347534661e+125,7.0,82113
60,815,4692,4222,470,0.10017050298380221,tt0233469,Collateral Damage,2002,59.0,7.743677777777771e+77,5.5,71124
61,818,9714,6784,2930,0.30162651842701255,tt0360486,Constantine,2005,102.0,7.777777557777731e+78,7.0,299440
62,821,11746,6876,4870,0.414609228673591,tt0118884,Contact,1997,191.0,2.3331443343343404e+107,7.4,249046
63,822,8200,7197,1003,0.1223170731707317,tt0306685,Cradle 2 the Grave,2003,49.0,7.7424777557755425e+90,5.8,40828
64,830,8890,8482,408,0.045894263217097865,tt0310924,Crime Spree,2003,,7.777777777777772e+101,6.5,5227
65,832,2842,2019,823,0.2895847994370162,tt0115986,The Crow: City of Angels,1996,35.0,4.77104454455447e+57,4.7,18893
66,844,6087,5039,1048,0.1721701987842944,tt0088993,Day of the Dead,1985,,7.444436535777772e+58,7.2,61859
67,848,13660,9465,4195,0.3071010248901903,tt0077405,Days of Heaven,1978,,7.54565464574344e+96,7.8,51055
68,849,6399,5452,947,0.14799187373027037,tt0043456,The Day The Earth Stood Still,1951,,6.57773663367777e+63,7.7,75374
69,850,9185,7375,1810,0.1970604246053348,tt0266452,Death to Smoochy,2002,12.0,7.434344367733572e+93,6.4,38345
70,851,8537,7565,972,0.11385732692983484,tt0800240,Deception,2008,5.0,7.777777777777771e+71,6.1,37344
71,852,7867,7058,809,0.10283462565145544,tt0104073,Deep Cover,1992,34.0,7.777777777775561e+106,6.9,8659
72,853,5776,5192,584,0.10110803324099724,tt0077416,The Deer Hunter,1978,,7.777257777734552e+103,8.1,304321
73,855,10949,9428,1521,0.1389167960544342,tt1034303,Defiance,2008,34.0,7.777777777777772e+129,7.2,135996
74,861,5920,4850,1070,0.18074324324324326,tt0097216,Do the Right Thing,1989,60.0,4.67567775364477e+109,7.9,86138
75,863,6347,4410,1937,0.3051835512840712,tt0486822,Disturbia,2007,101.0,7.677123436756772e+101,6.8,217107
76,864,9688,8396,1292,0.1333608587943848,tt0072890,Dog Day Afternoon,1975,,7.677777667777771e+108,8.0,230652
77,866,13464,11744,1720,0.12774806892453952,tt0119008,Donnie Brasco,1997,79.0,7.777777743477772e+144,7.7,271900
78,868,6164,4697,1467,0.23799480856586633,tt0082288,Dragonslayer,1981,18.0,7.77764457576777e+73,6.7,14683
79,869,13346,9783,3563,0.2669713771916679,tt0036775,Double Indemnity,1944,,7.634353444345772e+135,8.3,139535
80,871,12580,10500,2080,0.16534181240063592,tt0101761,The Doors,1991,72.0,7.457575534357771e+125,7.2,82349
81,873,5062,4338,724,0.1430264717502963,tt0023969,Duck Soup,1933,,2.53357775657777e+46,7.8,54716
82,875,6052,4791,1261,0.2083608724388632,tt0087182,Dune,1984,70.0,4.55677777762033e+74,6.5,121710
83,878,4996,1670,3326,0.6657325860688551,tt0099487,Edward Scissorhands,1990,116.0,4.202334631031641e+59,7.9,437221
84,879,9085,4972,4113,0.4527242707760044,tt1059786,Eagle Eye,2008,122.0,7.753343322574459e+74,6.6,173875
85,885,7316,3468,3848,0.5259704756697648,tt0414055,Elizabeth: The Golden Age,2007,20.0,6.443323531374331e+96,6.8,66001
86,886,5845,4535,1310,0.22412318220701455,tt0080678,The Elephant Man,1980,,2.77775774651753e+75,8.1,214419
87,892,4890,3711,1179,0.2411042944785276,tt0116225,Escape from L.A.,1996,49.0,1.0434777637777601e+64,5.8,68441
88,898,3095,2387,708,0.22875605815831987,tt0120663,Eyes Wide Shut,1999,95.0,3.6477332036577405e+95,7.4,294617
89,901,11778,11168,610,0.051791475632535236,tt0116253,Executive Decision,1996,135.0,6.27777777777777e+75,6.4,49757
90,902,4715,3282,1433,0.3039236479321315,tt0119094,Face/Off,1997,212.0,6.77773366744743e+66,7.3,343437
91,906,7494,4695,2799,0.3734987990392314,tt0083929,Fast Times at Ridgemont High,1982,,2.7760005647777606e+111,7.2,90919
92,909,6492,4340,2152,0.3314849044978435,tt0091042,Ferris Bueller's Day Off,1986,164.0,5.445314467777641e+90,7.8,313778
93,910,5416,3433,1983,0.3661373707533235,tt0426459,Feast,2005,,7.644775576377743e+106,6.3,29303
94,911,7340,6961,379,0.051634877384196184,tt0119116,The Fifth Element,1997,120.0,7.7777777777777725e+115,7.7,425888
95,912,10508,9364,1144,0.10886943281309479,tt0137523,Fight Club,1999,63.0,6.20000017777777e+75,8.8,1806976
96,915,2879,1971,908,0.31538728725251824,tt0195714,Final Destination,2000,86.0,7.714574446377571e+38,6.7,224820
97,916,7010,3042,3968,0.5660485021398003,tt0065724,Five Easy Pieces,1970,,3.334445433245441e+105,7.5,32498
98,917,6141,5339,802,0.13059762253704607,tt0089155,Fletch,1985,114.0,7.777777755577771e+109,6.9,46676
99,918,23420,17643,5777,0.24666951323654995,tt0240510,The Four Feathers,2002,27.0,7.56204777773111e+61,6.5,32184
100,921,9090,7541,1549,0.1704070407040704,tt0109830,Forrest Gump,1994,686.0,7.624542575745661e+123,8.8,1755005
101,926,5594,3162,2432,0.43475151948516266,tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,1989,31.0,7.777740125577449e+73,4.6,32547
102,935,14041,10868,3173,0.2259810554803789,tt1046173,G.I. Joe: The Rise of Cobra,2009,174.0,7.777777777775562e+108,5.8,196914
103,937,8371,4104,4267,0.5097359933102378,tt0119173,G.I. Jane,1997,91.0,3.3054341024321306e+80,5.9,72102
104,939,2222,1657,565,0.2542754275427543,tt1034032,Gamer,2009,23.0,7.65444547677744e+50,5.8,128719
105,941,5440,4982,458,0.08419117647058824,tt0119177,Gattaca,1997,23.0,7.61677777777777e+52,7.8,275698
106,942,11424,10005,1419,0.12421218487394958,tt0217505,Gangs of New York,2002,116.0,7.777777777772771e+127,7.5,396915
107,953,8927,1640,7287,0.8162876666293267,tt0210070,Ginger Snaps,2000,,2.1000010341e+75,6.8,40884
108,962,14248,5568,8680,0.6092083099382369,tt0348836,Gothika,2003,85.0,1.43420333444333e+93,5.8,104734
109,971,6559,5460,1099,0.16755602988260407,tt0087363,Gremlins,1984,383.0,7.75455667744357e+62,7.3,191935
110,973,7465,5219,2246,0.30087073007367715,tt0099700,Gremlins 2: The New Batch,1990,85.0,7.444635746777639e+58,6.4,90667
111,974,6911,5227,1684,0.24366951237158155,tt0119229,Grosse Pointe Blank,1997,53.0,7.77767323433377e+91,7.3,86463
112,975,8948,6221,2727,0.3047608404112651,tt0107048,Groundhog Day,1993,148.0,7.444744446763551e+101,8.0,569283
113,978,5045,3493,1552,0.3076313181367691,tt0113253,Halloween: The Curse of Michael Myers,1995,30.0,3.2326577616744305e+62,4.9,30220
114,983,13959,10740,3219,0.23060391145497527,tt0067180,"Happy Birthday, Wanda June",1971,,4.334345466534361e+175,6.0,275
115,985,7888,6879,1009,0.1279158215010142,tt0120696,Hard Rain,1998,36.0,7.777777777777772e+114,5.9,31645
116,986,4558,3256,1302,0.2856516015796402,tt0099739,Hard to Kill,1990,97.0,5.76777777664477e+52,5.8,26890
117,988,10923,10055,868,0.07946534834752357,tt0366551,Harold & Kumar Go to White Castle,2004,25.0,7.77764577777777e+94,7.1,179366
118,989,16885,14445,2440,0.1445069588392064,tt0295297,Harry Potter and the Chamber of Secrets,2002,392.0,7.777777777643571e+122,7.4,535769
119,991,8048,6466,1582,0.19657057654075547,tt0241527,Harry Potter and the Sorcerer's Stone,2001,488.0,4.5357677767777715e+89,7.6,624929
120,992,15481,12268,3213,0.20754473225243847,tt0304141,Harry Potter and the Prisoner of Azkaban,2004,348.0,4.4323677777567706e+116,7.9,533094
