id_county,name_county,age_group,gender,positive_tests
8126,LK Hohenlohekreis,A80+,Male,10
8126,LK Hohenlohekreis,A80+,Female,19
8127,LK Schwäbisch Hall,A00-A04,Male,1
8127,LK Schwäbisch Hall,A00-A04,Female,1
8127,LK Schwäbisch Hall,A05-A14,Male,8
8127,LK Schwäbisch Hall,A05-A14,Female,3
8127,LK Schwäbisch Hall,A15-A34,Male,61
8127,LK Schwäbisch Hall,A15-A34,Female,34
8127,LK Schwäbisch Hall,A35-A59,Male,66
8127,LK Schwäbisch Hall,A35-A59,Female,45
8127,LK Schwäbisch Hall,A60-A79,Male,14
8127,LK Schwäbisch Hall,A60-A79,Female,21
8127,LK Schwäbisch Hall,A80+,Male,3
8127,LK Schwäbisch Hall,A80+,Female,14
8128,LK Main-Tauber-Kreis,A00-A04,Male,3
8128,LK Main-Tauber-Kreis,A00-A04,Female,4
8128,LK Main-Tauber-Kreis,A05-A14,Male,6
8128,LK Main-Tauber-Kreis,A05-A14,Female,6
8128,LK Main-Tauber-Kreis,A05-A14,unbekannt,1
8128,LK Main-Tauber-Kreis,A15-A34,Male,34
8128,LK Main-Tauber-Kreis,A15-A34,Female,20
8128,LK Main-Tauber-Kreis,A35-A59,Male,39
8128,LK Main-Tauber-Kreis,A35-A59,Female,42
8128,LK Main-Tauber-Kreis,A60-A79,Male,16
8128,LK Main-Tauber-Kreis,A60-A79,Female,17
8128,LK Main-Tauber-Kreis,A80+,Male,8
8128,LK Main-Tauber-Kreis,A80+,Female,9
8135,LK Heidenheim,A00-A04,Female,8
8135,LK Heidenheim,A00-A04,unbekannt,1
8135,LK Heidenheim,A05-A14,Male,9
8135,LK Heidenheim,A05-A14,Female,5
8135,LK Heidenheim,A15-A34,Male,61
8135,LK Heidenheim,A15-A34,Female,59
8135,LK Heidenheim,A35-A59,Male,59
8135,LK Heidenheim,A35-A59,Female,83
8135,LK Heidenheim,A35-A59,unbekannt,1
8135,LK Heidenheim,A60-A79,Male,31
8135,LK Heidenheim,A60-A79,Female,33
8135,LK Heidenheim,A80+,Male,13
8135,LK Heidenheim,A80+,Female,37
8135,LK Heidenheim,unbekannt,Male,1
8135,LK Heidenheim,unbekannt,Female,3
8136,LK Ostalbkreis,A00-A04,Male,6
8136,LK Ostalbkreis,A00-A04,Female,5
8136,LK Ostalbkreis,A05-A14,Male,17
8136,LK Ostalbkreis,A05-A14,Female,17
8136,LK Ostalbkreis,A15-A34,Male,153
8136,LK Ostalbkreis,A15-A34,Female,163
8136,LK Ostalbkreis,A15-A34,unbekannt,1
8136,LK Ostalbkreis,A35-A59,Male,137
8136,LK Ostalbkreis,A35-A59,Female,176
8136,LK Ostalbkreis,A60-A79,Male,58
8136,LK Ostalbkreis,A60-A79,Female,63
8136,LK Ostalbkreis,A80+,Male,19
8136,LK Ostalbkreis,A80+,Female,37
8211,SK Baden-Baden,A00-A04,Male,1
8211,SK Baden-Baden,A05-A14,Male,4
8211,SK Baden-Baden,A05-A14,Female,3
8211,SK Baden-Baden,A15-A34,Male,11
8211,SK Baden-Baden,A15-A34,Female,13
8211,SK Baden-Baden,A35-A59,Male,15
8211,SK Baden-Baden,A35-A59,Female,17
8211,SK Baden-Baden,A60-A79,Male,8
8211,SK Baden-Baden,A60-A79,Female,6
8211,SK Baden-Baden,A80+,Female,2
8212,SK Karlsruhe,A00-A04,Male,10
8212,SK Karlsruhe,A00-A04,Female,7
8212,SK Karlsruhe,A05-A14,Male,23
8212,SK Karlsruhe,A05-A14,Female,32
8212,SK Karlsruhe,A15-A34,Male,132
8212,SK Karlsruhe,A15-A34,Female,111
8212,SK Karlsruhe,A15-A34,unbekannt,1
8212,SK Karlsruhe,A35-A59,Male,118
8212,SK Karlsruhe,A35-A59,Female,139
8212,SK Karlsruhe,A60-A79,Male,62
8212,SK Karlsruhe,A60-A79,Female,65
8212,SK Karlsruhe,A80+,Male,16
8212,SK Karlsruhe,A80+,Female,31
8215,LK Karlsruhe,A00-A04,Male,18
8215,LK Karlsruhe,A00-A04,Female,12
8215,LK Karlsruhe,A05-A14,Male,36
8215,LK Karlsruhe,A05-A14,Female,29
8215,LK Karlsruhe,A15-A34,Male,159
8215,LK Karlsruhe,A15-A34,Female,166
8215,LK Karlsruhe,A15-A34,unbekannt,1
8215,LK Karlsruhe,A35-A59,Male,228
8215,LK Karlsruhe,A35-A59,Female,245
8215,LK Karlsruhe,A35-A59,unbekannt,1
8215,LK Karlsruhe,A60-A79,Male,99
8215,LK Karlsruhe,A60-A79,Female,112
