id_county,name_county,age_group,gender,positive_tests,population,total_population_county
8126,LK Hohenlohekreis,A80+,Female,19,3523,107280
8127,LK Schwäbisch Hall,A00-A04,Male,1,4144,186353
8127,LK Schwäbisch Hall,A00-A04,Female,1,4076,186353
8127,LK Schwäbisch Hall,A05-A14,Male,8,10427,186353
8127,LK Schwäbisch Hall,A05-A14,Female,3,9773,186353
8127,LK Schwäbisch Hall,A15-A34,Male,61,23339,186353
8127,LK Schwäbisch Hall,A15-A34,Female,34,21446,186353
8127,LK Schwäbisch Hall,A35-A59,Male,66,35147,186353
8127,LK Schwäbisch Hall,A35-A59,Female,45,34349,186353
8127,LK Schwäbisch Hall,A60-A79,Male,14,16167,186353
8127,LK Schwäbisch Hall,A60-A79,Female,21,18177,186353
8127,LK Schwäbisch Hall,A80+,Male,3,3093,186353
8127,LK Schwäbisch Hall,A80+,Female,14,6215,186353
8128,LK Main-Tauber-Kreis,A00-A04,Male,3,2564,130625
8128,LK Main-Tauber-Kreis,A00-A04,Female,4,2483,130625
8128,LK Main-Tauber-Kreis,A05-A14,Male,6,6675,130625
8128,LK Main-Tauber-Kreis,A05-A14,Female,6,6451,130625
8128,LK Main-Tauber-Kreis,A15-A34,Male,34,15047,130625
8128,LK Main-Tauber-Kreis,A15-A34,Female,20,13899,130625
8128,LK Main-Tauber-Kreis,A35-A59,Male,39,24193,130625
8128,LK Main-Tauber-Kreis,A35-A59,Female,42,24142,130625
8128,LK Main-Tauber-Kreis,A60-A79,Male,16,13087,130625
8128,LK Main-Tauber-Kreis,A60-A79,Female,17,14153,130625
8128,LK Main-Tauber-Kreis,A80+,Male,8,2688,130625
8128,LK Main-Tauber-Kreis,A80+,Female,9,5243,130625
8135,LK Heidenheim,A00-A04,Female,8,2472,127817
8135,LK Heidenheim,A05-A14,Male,9,6906,127817
8135,LK Heidenheim,A05-A14,Female,5,6325,127817
8135,LK Heidenheim,A15-A34,Male,61,14711,127817
8135,LK Heidenheim,A15-A34,Female,59,13708,127817
8135,LK Heidenheim,A35-A59,Male,59,23040,127817
8135,LK Heidenheim,A35-A59,Female,83,22969,127817
8135,LK Heidenheim,A60-A79,Male,31,12815,127817
8135,LK Heidenheim,A60-A79,Female,33,14558,127817
8135,LK Heidenheim,A80+,Male,13,2605,127817
8135,LK Heidenheim,A80+,Female,37,5026,127817
8136,LK Ostalbkreis,A00-A04,Male,6,6739,306529
8136,LK Ostalbkreis,A00-A04,Female,5,6528,306529
8136,LK Ostalbkreis,A05-A14,Male,17,16931,306529
8136,LK Ostalbkreis,A05-A14,Female,17,16142,306529
8136,LK Ostalbkreis,A15-A34,Male,153,36967,306529
8136,LK Ostalbkreis,A15-A34,Female,163,34869,306529
8136,LK Ostalbkreis,A35-A59,Male,137,56490,306529
8136,LK Ostalbkreis,A35-A59,Female,176,55650,306529
8136,LK Ostalbkreis,A60-A79,Male,58,28481,306529
8136,LK Ostalbkreis,A60-A79,Female,63,31855,306529
8136,LK Ostalbkreis,A80+,Male,19,5244,306529
8136,LK Ostalbkreis,A80+,Female,37,10633,306529
8211,SK Baden-Baden,A00-A04,Male,1,988,52315
8211,SK Baden-Baden,A05-A14,Male,4,2171,52315
8211,SK Baden-Baden,A05-A14,Female,3,2170,52315
8211,SK Baden-Baden,A15-A34,Male,11,5081,52315
8211,SK Baden-Baden,A15-A34,Female,13,5025,52315
8211,SK Baden-Baden,A35-A59,Male,15,8701,52315
8211,SK Baden-Baden,A35-A59,Female,17,9826,52315
8211,SK Baden-Baden,A60-A79,Male,8,6019,52315
8211,SK Baden-Baden,A60-A79,Female,6,7206,52315
8211,SK Baden-Baden,A80+,Female,2,2881,52315
8212,SK Karlsruhe,A00-A04,Male,10,6163,289173
8212,SK Karlsruhe,A00-A04,Female,7,6080,289173
8212,SK Karlsruhe,A05-A14,Male,23,11961,289173
8212,SK Karlsruhe,A05-A14,Female,32,11389,289173
8212,SK Karlsruhe,A15-A34,Male,132,44616,289173
8212,SK Karlsruhe,A15-A34,Female,111,38921,289173
8212,SK Karlsruhe,A35-A59,Male,118,50684,289173
8212,SK Karlsruhe,A35-A59,Female,139,49562,289173
8212,SK Karlsruhe,A60-A79,Male,62,25108,289173
8212,SK Karlsruhe,A60-A79,Female,65,29245,289173
8212,SK Karlsruhe,A80+,Male,16,4875,289173
8212,SK Karlsruhe,A80+,Female,31,10569,289173
8215,LK Karlsruhe,A00-A04,Male,18,9062,424121
8215,LK Karlsruhe,A00-A04,Female,12,8558,424121
8215,LK Karlsruhe,A05-A14,Male,36,21952,424121
8215,LK Karlsruhe,A05-A14,Female,29,20374,424121
8215,LK Karlsruhe,A15-A34,Male,159,47675,424121
8215,LK Karlsruhe,A15-A34,Female,166,46244,424121
8215,LK Karlsruhe,A35-A59,Male,228,80701,424121
8215,LK Karlsruhe,A35-A59,Female,245,81111,424121
8215,LK Karlsruhe,A60-A79,Male,99,41520,424121
8215,LK Karlsruhe,A60-A79,Female,112,45939,424121
8215,LK Karlsruhe,A80+,Male,33,7059,424121
8215,LK Karlsruhe,A80+,Female,72,13926,424121
