id_county,age_group,gender,population,total_population_county
8215,A00-A04,Female,8558,424121
8215,A00-A04,Male,9062,424121
8215,A05-A14,Female,20374,424121
8215,A05-A14,Male,21952,424121
8215,A15-A34,Female,46244,424121
8215,A15-A34,Male,47675,424121
8215,A35-A59,Female,81111,424121
8215,A35-A59,Male,80701,424121
8215,A60-A79,Female,45939,424121
8215,A60-A79,Male,41520,424121
8215,A80+,Female,13926,424121
8215,A80+,Male,7059,424121
8216,A00-A04,Female,4300,222324
8216,A00-A04,Male,4451,222324
8216,A05-A14,Female,10760,222324
8216,A05-A14,Male,11424,222324
8216,A15-A34,Female,23680,222324
8216,A15-A34,Male,24756,222324
8216,A35-A59,Female,42431,222324
8216,A35-A59,Male,42472,222324
8216,A60-A79,Female,24455,222324
8216,A60-A79,Male,21912,222324
8216,A80+,Female,7756,222324
8216,A80+,Male,3927,222324
8221,A00-A04,Female,3165,146751
8221,A00-A04,Male,3303,146751
8221,A05-A14,Female,5332,146751
8221,A05-A14,Male,5489,146751
8221,A15-A34,Female,27459,146751
8221,A15-A34,Male,23829,146751
8221,A35-A59,Female,23652,146751
8221,A35-A59,Male,23546,146751
8221,A60-A79,Female,13207,146751
8221,A60-A79,Male,10993,146751
8221,A80+,Female,4671,146751
8221,A80+,Male,2105,146751
8222,A00-A04,Female,6042,290117
8222,A00-A04,Male,6641,290117
8222,A05-A14,Female,11930,290117
8222,A05-A14,Male,12866,290117
8222,A15-A34,Female,40426,290117
8222,A15-A34,Male,38667,290117
8222,A35-A59,Female,49822,290117
8222,A35-A59,Male,51875,290117
8222,A60-A79,Female,30291,290117
8222,A60-A79,Male,26895,290117
8222,A80+,Female,9870,290117
8222,A80+,Male,4792,290117
8225,A00-A04,Female,2716,142810
8225,A00-A04,Male,2871,142810
8225,A05-A14,Female,7046,142810
8225,A05-A14,Male,7628,142810
8225,A15-A34,Female,15339,142810
8225,A15-A34,Male,16392,142810
8225,A35-A59,Female,26732,142810
8225,A35-A59,Male,27370,142810
8225,A60-A79,Female,15135,142810
8225,A60-A79,Male,14076,142810
8225,A80+,Female,5019,142810
8225,A80+,Male,2486,142810
8226,A00-A04,Female,10878,524039
8226,A00-A04,Male,11217,524039
8226,A05-A14,Female,24783,524039
8226,A05-A14,Male,26393,524039
